,duration,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class1
0,76.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,26315.7894736842,1052631.57894737,76.0,76.0,76.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Non-VPN
1,54.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,37037.037037037,1481481.48148148,54.0,54.0,54.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Non-VPN
2,67.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,29850.7462686567,1194029.85074627,67.0,67.0,67.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Non-VPN
3,75.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,26666.6666666667,1066666.66666667,75.0,75.0,75.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Non-VPN
4,14512571.0,14512571.0,-1.0,14512571.0,-1.0,14500000.0,0.0,0.0,0.0,0.2067173349,8.2686933969,69.0,14512502.0,7256285.5,10300000.0,14512571.0,14500000.0,14512571.0,0.0,14512502.0,14500000.0,14512502.0,0.0,Non-VPN
5,41.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,48780.4878048781,1951219.51219512,41.0,41.0,41.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Non-VPN
6,71.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,28169.014084507,1126760.56338028,71.0,71.0,71.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Non-VPN
7,60.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,33333.3333333333,1333333.33333333,60.0,60.0,60.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Non-VPN
8,76.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,26315.7894736842,1052631.57894737,76.0,76.0,76.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Non-VPN
9,69.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,28985.5072463768,1159420.28985507,69.0,69.0,69.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Non-VPN
10,13302587.0,13302587.0,-1.0,13302587.0,-1.0,13300000.0,0.0,0.0,0.0,0.2255200436,9.0208017433,70.0,13302517.0,6651293.5,9406250.48007459,13302587.0,13300000.0,13302587.0,0.0,13302517.0,13300000.0,13302517.0,0.0,Non-VPN
11,70.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,28571.4285714286,1142857.14285714,70.0,70.0,70.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Non-VPN
12,59005696.0,16.0,4.0,11564793.0,11548477.0,398686.986486486,421345.328571429,1421158.88511806,1438391.62173464,4.9147797528,2248.3592092533,4.0,11514382.0,204171.958477509,1017107.82906928,1443143.0,4180902.14285714,14269600.0,3867463.0537831,1065834.0,3306945.57142857,11514382.0,3435845.4933996,Non-VPN
13,59844887.0,18.0,4.0,11379406.0,11379337.0,358352.22754491,418142.153846154,1317980.72265144,1400452.15803369,5.2134779701,1909.0352697967,4.0,11242048.0,192427.289389068,963435.019666705,1363299.0,4208649.28571429,14127351.0,3919367.73249442,1079974.0,3148508.35714286,11242048.0,3460254.13750027,Non-VPN
14,55964982.0,17.0,9.0,35188437.0,35149142.0,706030.620253165,847954.272727273,3994099.62596041,4347988.6339799,2.6266424958,914.8935311013,9.0,35137650.0,383321.794520548,2940559.05250954,2368851.0,9259595.83333333,35334176.0,12900000.0,1632072.0,7914681.33333333,35137650.0,13400000.0,Non-VPN
15,58969629.0,22.0,6.0,35208950.0,35022877.0,691543.4,737120.3625,3858143.81461764,3950758.66210884,2.8319662652,1260.6150193009,6.0,35022877.0,355238.728915663,2756993.49662027,2092947.0,6526255.44444444,35280803.0,10800000.0,1252392.0,5839781.44444444,35022877.0,11000000.0,Non-VPN
16,36742476.0,21.0,8.0,24383019.0,24244301.0,1220173.0,1413172.15384615,4626710.09942603,4913886.53335855,1.5785544774,580.0099046129,8.0,24244301.0,644604.842105263,3358801.46001823,2762034.0,12200000.0,24613894.0,11200000.0,2066591.0,11400000.0,24244301.0,11500000.0,Non-VPN
17,51746159.0,18.0,5.0,26116331.0,25978548.0,646217.525,698507.364864865,3199889.22872494,3297109.24821232,3.0147165126,1307.3820609565,5.0,25978548.0,333846.187096774,2295949.23660323,1566070.0,8581026.33333333,26194797.0,10100000.0,1197148.0,7441461.83333333,25978548.0,9951162.38099817,Non-VPN
18,30077549.0,20.0,5.0,13099598.0,13090662.0,489989.442622951,578414.403846154,1841338.88890499,1976847.70558866,3.8234498429,1401.0450120121,5.0,13047812.0,263838.149122807,1353099.85664605,2757283.0,5908297.8,13243650.0,4307438.95146553,1297996.0,4754863.6,13047812.0,4995762.64894241,Non-VPN
19,620945.0,18.0,6.0,156252.0,183469.0,31283.1428571429,51745.4166666667,49119.2975337473,65032.495404512,45.0925605327,21336.8333749366,6.0,138002.0,22997.962962963,38169.6703598969,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Non-VPN
20,30058560.0,29999577.0,30000507.0,29999577.0,30000507.0,30000000.0,30000000.0,0.0,0.0,0.1330735737,5.7221636698,58053.0,29941524.0,10000000.0,17300000.0,29999577.0,30000000.0,29999577.0,0.0,29941524.0,29900000.0,29941524.0,0.0,Non-VPN
21,30056129.0,29999409.0,30001305.0,29999409.0,30001305.0,30000000.0,30000000.0,0.0,0.0,0.133084337,10.2474939471,54824.0,29944585.0,10000000.0,17300000.0,29999409.0,30000000.0,29999409.0,0.0,29944585.0,29900000.0,29944585.0,0.0,Non-VPN
22,30059020.0,29999203.0,30001775.0,29999203.0,30001775.0,30000000.0,30000000.0,0.0,0.0,0.1330715373,8.8492572279,57245.0,29941958.0,10000000.0,17300000.0,29999203.0,30000000.0,29999203.0,0.0,29941958.0,29900000.0,29941958.0,0.0,Non-VPN
23,55305153.0,89979.0,44534.0,23816537.0,23521535.0,11000000.0,11000000.0,11100000.0,11000000.0,0.2169779731,22.6922796868,79.0,23521535.0,5027741.18181818,8965619.39005566,10581964.0,18300000.0,23766506.0,6884463.99512887,10531933.0,18200000.0,23521535.0,6786247.03152021,Non-VPN
24,59998742.0,29999272.0,29999277.0,29999470.0,29999277.0,30000000.0,30000000.0,140.003571383,0.0,0.0833350806,7.033480802,55025.0,29944440.0,15000000.0,17300000.0,29999272.0,30000000.0,29999470.0,140.003571383,29944247.0,29900000.0,29944440.0,136.4679449541,Non-VPN
25,59998751.0,29999300.0,29999239.0,29999451.0,29999239.0,30000000.0,30000000.0,106.7684410301,0.0,0.0833350681,3.6334089688,57471.0,29941980.0,15000000.0,17300000.0,29999300.0,30000000.0,29999451.0,106.7684410301,29941768.0,29900000.0,29941980.0,149.9033021651,Non-VPN
26,59998916.0,29999208.0,29999172.0,29999708.0,29999172.0,30000000.0,30000000.0,353.5519763769,0.0,0.0833348389,5.9834414342,57023.0,29942685.0,15000000.0,17300000.0,29999208.0,30000000.0,29999708.0,353.5519763769,29942149.0,29900000.0,29942685.0,379.0079154846,Non-VPN
27,59910544.0,68498.0,41928.0,12061989.0,11927356.0,3325584.22222222,3503219.23529412,3905767.05741113,3970555.10699313,0.6175874484,51.6603554793,79.0,11927356.0,1664181.77777778,3156763.93683385,1212858.0,5398399.45454545,12274057.0,3859369.1841859,1032008.0,5181264.81818182,11927356.0,3904662.09510934,Non-VPN
28,59939033.0,29998955.0,29997650.0,29998955.0,29997650.0,30000000.0,30000000.0,0.0,0.0,0.0667344767,5.3220745153,57572.0,29941383.0,20000000.0,17300000.0,29940078.0,30000000.0,29998955.0,41632.3259439105,29940078.0,29900000.0,29941383.0,922.773807604,Non-VPN
29,53965451.0,80136.0,34443.0,19155808.0,19156077.0,4144662.07692308,3851105.92857143,6141552.90308969,5990356.56794874,0.5373808513,54.6460734665,69.0,18984465.0,1927337.53571429,4550236.46297449,1488138.0,8963921.33333333,20096341.0,6855542.50015586,1316693.0,8610002.33333333,18984465.0,6598206.71101108,Non-VPN
30,59999418.0,29999257.0,29999143.0,29999257.0,30000275.0,30000000.0,30000000.0,0.0,800.4442516503,0.0833341417,3.533367607,57422.0,29942739.0,15000000.0,17300000.0,29942739.0,30000000.0,29999257.0,39964.2610465901,29941721.0,29900000.0,29942739.0,719.8340086437,Non-VPN
31,59998477.0,29999187.0,29998695.0,29999187.0,29999782.0,30000000.0,30000000.0,0.0,768.6244206373,0.0833354487,5.8001472271,54937.0,29944353.0,15000000.0,17300000.0,29944353.0,30000000.0,29999187.0,38773.4932266877,29943758.0,29900000.0,29944353.0,420.7273463896,Non-VPN
32,59979616.0,90858.0,37291.0,15908948.0,15908848.0,4284258.28571429,4268442.28571429,4980057.45735235,5065808.09354626,0.5001699244,51.5175022128,48.0,15737313.0,2068262.62068965,3995769.43058902,1545777.0,7491228.375,15908948.0,4577798.33995449,1374836.0,7265224.75,15737313.0,4607043.33959689,Non-VPN
