,duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class1
0,2218398.0,2191528.0,2192676.0,9.0,17.0,60217.0,86113.0,601.0773450357,370.0094498819,4315.7269344816,3789735.65609057,0.0,60217.0,231.7348793482,1815.7413356553,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,VPN-BROWSING
1,48738520.0,48524188.0,48525131.0,6.0,7.0,45006375.0,45220727.0,19495.4552028927,14664.5908129344,119.0023825098,95435.3763717076,1.0,45006375.0,8404.6421796862,591079.887683222,48524188.0,48500000.0,48524188.0,0.0,45006375.0,45000000.0,45006375.0,0.0,VPN-BROWSING
2,270207.0,203681.0,244006.0,15.0,10.0,27147.0,66572.0,593.8221574344,363.1041666667,3763.7811011558,3479554.56372337,3.0,66526.0,265.9517716535,2648.2935975742,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,VPN-BROWSING
3,59069229.0,59069229.0,59004989.0,23.0,10.0,58685690.0,58644456.0,191162.553398058,86138.6700729927,16.861571022,15891.5397389053,0.0,58618250.0,59366.0592964824,1858311.69635196,59004834.0,59000000.0,59004834.0,0.0,58618250.0,58600000.0,58618250.0,0.0,VPN-BROWSING
4,55595001.0,55424950.0,55464526.0,32.0,23.0,23772662.0,23731260.0,170015.18404908,88038.9301587302,17.2317651366,15322.5647032545,8.0,23598957.0,58093.0,1023972.52314642,15447930.0,18400000.0,24327021.0,5106593.46429788,14941349.0,17800000.0,23598957.0,4979308.24955122,VPN-BROWSING
5,70879295.0,55916114.0,70739980.0,13.0,10.0,45018141.0,45157574.0,122354.735229759,123455.462478185,14.5599642321,11238.2748727961,2.0,45018141.0,68748.1037827352,1494816.19712197,10738389.0,23600000.0,45177725.0,18800000.0,7696125.0,22500000.0,45018141.0,19800000.0,VPN-BROWSING
6,1314540.0,1314535.0,1183635.0,7.0,17.0,132666.0,131525.0,4095.1246105919,2320.8529411765,633.6817441843,547879.866721439,1.0,131289.0,1579.9759615385,11183.8142083152,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,VPN-BROWSING
7,16859667.0,16834434.0,16834136.0,8.0,11.0,15188495.0,15255781.0,66017.3882352941,30831.7509157509,47.6284614637,41424.3650245287,3.0,15188495.0,21022.0286783042,538407.761323808,1415482.0,8334794.0,15254106.0,9785384.87269086,1361674.0,8275084.5,15188495.0,9777038.89135251,VPN-BROWSING
8,59999177.0,59999144.0,59999127.0,4.0,9.0,20661527.0,20661725.0,178039.002967359,101349.876689189,15.5168795065,11402.7230740182,3.0,20636361.0,64515.2440860215,957504.819270592,1645401.0,8571303.85714286,20977531.0,8464865.31182897,1453279.0,7937643.42857143,20636361.0,8300951.24006844,VPN-BROWSING
9,6613711.0,6548606.0,6588175.0,11.0,11.0,6146080.0,6106525.0,34107.3229166667,17429.0343915344,86.4869964835,76861.0844955275,1.0,6080986.0,11582.6812609457,254538.050087615,6385743.0,6385743.0,6385743.0,0.0,6080986.0,6080986.0,6080986.0,0.0,VPN-BROWSING
10,55831711.0,55766885.0,55806151.0,2.0,12.0,16115344.0,16052021.0,189683.282312925,139865.040100251,12.4481228956,6523.2283495664,2.0,16052021.0,80449.15129683,810630.255341167,3730975.0,7852700.71428571,16144470.0,4380017.16495979,3692911.0,6994100.28571429,16052021.0,4391964.08339,VPN-BROWSING
11,46524546.0,46325039.0,46323261.0,2.0,17.0,45024030.0,45262593.0,477577.721649485,264704.348571429,5.8893642939,5210.0024791215,1.0,45024030.0,170419.582417582,2724826.14804881,46325039.0,46300000.0,46325039.0,0.0,45024030.0,45000000.0,45024030.0,0.0,VPN-BROWSING
12,6496273.0,6431093.0,6470928.0,28.0,18.0,5323248.0,5284388.0,71456.5888888889,38748.0718562874,39.8690141255,33091.5895929866,7.0,5258623.0,25179.3527131783,331050.542898078,6404373.0,6404373.0,6404373.0,0.0,5258623.0,5258623.0,5258623.0,0.0,VPN-BROWSING
13,59898537.0,59657471.0,59714032.0,3.0,0.0,3516152.0,3306491.0,277476.609302326,177192.973293769,9.2489738105,4779.2820048343,0.0,3270104.0,108315.618444846,268283.891582461,1788441.0,5965529.6,28980118.0,8234441.79329447,1064627.0,1530338.3,3270104.0,638162.034108815,VPN-BROWSING
14,59953499.0,59953499.0,59785930.0,3.0,0.0,7010702.0,6909339.0,315544.731578947,182274.176829268,8.6733886875,4438.2063505585,0.0,6778155.0,115517.33911368,470631.154191743,6000138.0,12000000.0,22209933.0,7236220.02293594,1348247.0,4025615.6,6778155.0,2458415.89903988,VPN-BROWSING
15,59641091.0,59641091.0,59576916.0,22.0,14.0,58246240.0,58246482.0,727330.378048781,402546.72972973,3.889935548,3152.960431257,6.0,58221015.0,258186.541125541,3830641.79293123,59577133.0,59600000.0,59577133.0,0.0,58221015.0,58200000.0,58221015.0,0.0,VPN-BROWSING
16,59927836.0,59880370.0,59927262.0,3.0,0.0,5376010.0,5744105.0,332668.722222222,211757.109540636,7.7593324077,4418.3307403258,0.0,5376010.0,129154.818965517,425975.5517071,1305781.0,5655278.0,13650015.0,4191097.69876415,1010431.0,2454498.11111111,5376010.0,1534697.71151023,VPN-BROWSING
17,6881637.0,6856085.0,6856099.0,6.0,13.0,1358719.0,1359104.0,44232.8064516129,30744.8385650224,55.2194194492,29391.1172588731,3.0,1333542.0,18157.3535620053,113971.920947506,1388633.0,2237905.0,3543205.0,1147395.43243971,1071144.0,1225598.66666667,1333542.0,137243.053364581,VPN-BROWSING
18,53546642.0,53417270.0,53412414.0,46.0,22.0,10156934.0,10155646.0,890287.833333333,417284.484375,3.5483084075,3097.8786680965,8.0,10026381.0,283315.566137566,1611875.91926109,1580433.0,8902878.33333333,11247875.0,3614169.05704125,1311555.0,8565401.5,10026381.0,3553648.68173224,VPN-BROWSING
19,1301313.0,1123688.0,1095209.0,57.0,29.0,433543.0,467191.0,18124.0,9607.0964912281,136.7849241497,119994.190482997,4.0,232813.0,7352.0508474576,33936.3238367714,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,VPN-BROWSING
20,59696147.0,59388599.0,59623729.0,3.0,0.0,7349706.0,7405278.0,324527.863387978,235666.913043478,7.3371569525,4121.321263833,0.0,7349571.0,136604.455377574,470285.857057011,1157176.0,4238208.77777778,7442866.0,2698041.6274677,1040262.0,2418477.77777778,7349571.0,2091761.83957844,VPN-BROWSING
